time,open,high,low,close,ST Line Up,ST Up,ST Line Down,ST Down,EMA 1,EMA 2,EMA 3,EMA 4,Zhighs,Zlows,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),BUY,SELL,AP,MOM,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1707984000,51776.6,52498.12,51650,52330,40265.20352866371,NaN,NaN,NaN,50406.37457090425,48330.038246047035,46368.652150263086,44751.113211214746,NaN,NaN,51901.72794811464,52498.12,51650,52063.68,0,0,50145.93506453885,3293.269999999997,51776.6,52498.12,51650,52330
1707998400,52330,52816.62,51721.31,51948.23,40265.20352866371,NaN,NaN,NaN,50553.21794510385,48471.92811875107,46479.138840356885,44822.72631359072,52816.62,NaN,51982.703974057324,52816.62,51721.31,52204.04,0,0,50280.8505351167,2248.6400000000067,52330,52816.62,51721.31,51948.23
1708012800,51948.24,52380,51725,52002.01,40265.20352866371,NaN,NaN,NaN,50691.19814080824,48610.36270232946,46588.502625696354,44894.16197216196,NaN,NaN,52093.37198702866,52380,51725,52013.8125,0,0,50355.649165865725,2483.4000000000015,51948.24,52380,51725,52002.01
1708027200,52002.01,52011.1,51314,51880,40265.20352866371,NaN,NaN,NaN,50804.41736549317,48738.58377282634,46693.28475192019,44963.6727983096,NaN,NaN,52053.59224351433,52053.59224351433,51314,51801.7775,0,0,50405.92952074627,2041.0699999999997,52002.01,52011.1,51314,51880
1708041600,51880.01,52328,51803.6,52280.25,40568.65893218656,NaN,NaN,NaN,50944.972854493826,48877.472644480215,46803.917727129694,45036.4745615105,NaN,NaN,51927.68487175716,52328,51803.6,52072.965000000004,0,0,50442.94874393737,725.1299999999974,51880.01,52328,51803.6,52280.25
1708056000,52280.25,52343.28,51700,51731.99,40709.29303896791,NaN,NaN,NaN,51019.926868351555,48989.41450155942,46901.50331669148,45103.096605674575,NaN,NaN,52000.32493587858,52343.28,51700,52013.88,0,0,50480.030025354514,141.98999999999796,52280.25,52343.28,51700,51731.99
1708070400,51732,52435.86,51566,52213.86,40709.29303896791,NaN,NaN,NaN,51133.634785651404,49115.86334463552,47006.698498539175,45173.850470294725,NaN,NaN,52007.10246793929,52435.86,51566,51986.92999999999,0,0,50536.71433635877,535.8600000000006,51732,52435.86,51566,52213.86
1708084800,52213.87,52572.08,51592.88,51888.01,40709.29303896791,NaN,NaN,NaN,51205.480044160795,49224.574978179226,47103.35813223147,45240.65802780423,NaN,NaN,51997.01623396964,52572.08,51592.88,52066.71000000001,0,0,50597.53428504466,92.84000000000378,52213.87,52572.08,51592.88,51888.01
1708099200,51888.01,52245,51655,51756.29,40709.29303896791,NaN,NaN,NaN,51257.9381351931,49323.85792021141,47195.49539693976,45305.49018673155,NaN,NaN,52031.86311698482,52245,51655,51886.075000000004,0,0,50621.19705809972,-587.0299999999988,51888.01,52245,51655,51756.29
1708113600,51756.29,52208.43,51681.1,52124.11,40794.319248866836,NaN,NaN,NaN,51340.43069374614,49433.67172726194,47293.09172571323,45373.33715004766,NaN,NaN,51958.96905849241,52208.43,51681.1,51942.4825,0,0,50636.64352386033,347.5,51756.29,52208.43,51681.1,52124.11
1708128000,52124.1,52162.82,51846.84,51968.75,41495.45882398015,NaN,NaN,NaN,51400.270627675076,49533.08656148696,47385.67901827337,45438.96314855465,NaN,NaN,51950.725779246204,52162.82,51846.84,52025.6275,0,0,50645.594202029315,-361.25,52124.1,52162.82,51846.84,51968.75
1708142400,51968.75,52057.54,51792,51911.33,42068.025941582135,NaN,NaN,NaN,51448.942948848875,49626.3510100561,47475.295869396665,45503.364808768034,NaN,NaN,51988.1766396231,52057.54,51792,51932.405,0,0,50654.261851277835,-36.900000000001455,51968.75,52057.54,51792,51911.33
1708156800,51911.34,51911.34,51500,51690.48,42217.59034742392,NaN,NaN,NaN,51471.946477529935,49707.297244955866,47558.76486208188,45564.928144004174,NaN,NaN,51960.29081981155,51960.29081981155,51500,51753.29,0,0,50669.00023500467,-311.52999999999884,51911.34,51911.34,51500,51690.48
1708171200,51690.47,51735.68,50625,50984.56,42217.59034742392,NaN,NaN,NaN,51425.52871776518,49757.38598044779,47626.60238956541,45618.85482913846,NaN,NaN,51856.79040990578,51856.79040990578,50625,51258.9275,0,0,50684.38460559376,-895.4400000000023,51690.47,51735.68,50625,50984.56
1708185600,50984.56,51444,50741.1,51394.43,42217.59034742392,NaN,NaN,NaN,51422.56693512088,49821.583785136114,47701.212837296785,45676.323238798774,NaN,NaN,51557.858954952884,51557.858954952884,50741.1,51141.0225,0,0,50692.22742691376,-885.8199999999997,50984.56,51444,50741.1,51394.43
1708200000,51394.44,52030.18,51303,51642.64,42217.59034742392,NaN,NaN,NaN,51443.52627463317,49892.99775434646,47779.26089992457,45735.68957473112,NaN,NaN,51349.44072747644,52030.18,51303,51592.565,0,0,50706.439540181906,-89.34999999999854,51394.44,52030.18,51303,51642.64
1708214400,51642.64,51798.99,51163.28,51479.99,42217.59034742392,NaN,NaN,NaN,51446.999010382395,49955.23274437209,47852.542664282504,45792.846792893,NaN,NaN,51471.00286373822,51798.99,51163.28,51521.225,0,0,50715.29582768586,-733.8700000000026,51642.64,51798.99,51163.28,51479.99
1708228800,51479.99,51750.6,51405.52,51671.1,42217.59034742392,NaN,NaN,NaN,51468.341961774546,50022.5216563575,47928.157661029385,45851.33687455575,NaN,NaN,51496.11393186911,51750.6,51405.52,51576.8025,0,0,50723.385218879805,-216.9100000000035,51479.99,51750.6,51405.52,51671.1
1708243200,51671.1,52069,51644,51832.01,42467.701296555315,NaN,NaN,NaN,51502.97701303411,50093.48198355917,48005.46166774168,45910.84605988356,NaN,NaN,51536.45821593456,52069,51536.45821593456,51804.027500000004,0,0,50736.37625494623,75.72000000000116,51671.1,52069,51644,51832.01
1708257600,51832.01,51948.57,51535.01,51773.99,42671.53116689979,NaN,NaN,NaN,51528.78777369753,50159.38425871371,48080.08599115274,45969.18580058123,NaN,NaN,51670.242857967285,51948.57,51535.01,51772.395,0,0,50748.239125295346,-350.1200000000026,51832.01,51948.57,51535.01,51773.99
1708272000,51774,51980.73,51647.25,51758.12,43150.53705020981,NaN,NaN,NaN,51550.628938107286,50222.07977797984,48152.918347763574,46026.787135898834,NaN,NaN,51721.318928983645,51980.73,51647.25,51790.025,0,0,50759.700801425955,-210.62999999999738,51774,51980.73,51647.25,51758.12
1708286400,51758.13,52377,51587.4,52137.67,43150.53705020981,NaN,NaN,NaN,51606.5376106685,50297.2009631571,48231.82432107519,46087.59194051676,NaN,NaN,51755.67196449182,52377,51587.4,51965.05,0,0,50782.949707137355,226.3399999999965,51758.13,52377,51587.4,52137.67
1708300800,52137.68,52428.78,51904.83,52063.81,43297.52311066995,NaN,NaN,NaN,51650.0873620334,50366.47974891564,48307.705225608355,46147.056796830024,NaN,NaN,51860.36098224591,52428.78,51860.36098224591,52133.774999999994,0,0,52132.47333333333,373.32999999999447,52137.68,52428.78,51904.83,52063.81
